Practice Code,Practice Name,Practice_Address_Line_1,Practice_Address_Line_2,Practice_Address_Line_3,Practice_Address_Line_4,Postcode,Telephone,Eastings,Northings,Longitude,Latitude,Total Registered List,Total patients per GP,Male GPs,Female GPs,0-14 (%),15-44 (%) ,45-74 (%),75+ (%),Deprivation level,ALL STAR RATING,OVERVIEW - OVERALL STAR RATING,Would you recommend your GP surgery? Rating,Would you recommend your GP surgery? respondents,Patient satisfaction with opening hours  rating,Patient satisfaction with opening hours  respondents,How helpful was the receptionist? Rating,How helpful was the receptionist? respondents,DOCTOR: overall star rating,Were you able to see a doctor within 2 working days? Rating,Were you able to see a doctor within 2 working days? respondents,Patient confidence and trust in the doctor  rating,Patient confidence and trust in the doctor  respondents,Did the doctor involve you in decisions about your care? Rating,Did the doctor involve you in decisions about your care? respondents,NURSE: overall star rating,Was it easy to get an appointment with a  nurse? Rating,Was it easy to get an appointment with a  nurse? respondents,Did the nurse explain tests & treatments? Rating,Did the nurse explain tests & treatments? respondents,Did the nurse treat patients with care & concern? Rating,Did the nurse treat patients with care & concern? respondents,OUTCOMES: overall star rating,Were eligible women screened? Rating,Were eligible women screened? Number of patients,Were blood pressure tests recently completed for patients with coronary heart disease? Rating,Were blood pressure tests recently completed for patients with coronary heart disease? Number of patients,Were asthma patients recently given an asthma review? Rating,Were asthma patients recently given an asthma review? Number of patients,Did cancer patients recently have a cancer review? Rating,Did cancer patients recently have a cancer review? Number of patients,Was retinal screening recently completed for diabetes patients? Rating,Was retinal screening recently completed for diabetes patients? Number of patients,OVERALL: Prevalence,Hypertension Value,Number of patients with Hypertension Number of patients,Stroke Value,Number of patients with Stroke Number of patients,Coronary Heart Disease Value,Number of patients with Coronary Heart Disease Number of patients,Chronic Obstructive Pulmonary Disease Value,Number of patients with Chronic Obstructive Pulmonary Disease Number of patients
A12345,RANDOM PRACTICE 1,ADDRESS LINE ONE - 1,1 MAIN STREET,CITY NAME 1,REGION NAME 1,NE1 8DQ,01234 567890,425087,564682,-1.608017,54.976041," 26,972 "," 1,686 ", 5 , 11 ,7.8%,71.2%,17.7%,3.4%,2,3.5,4,3," 1,033 ",5, 993 ,2," 1,047 ",2.5,1.5, 476 ,3.5," 1,019 ",3, 957 ,2,3.5," 1,020 ",2, 776 ,1.5, 828 ,4.5,1.5," 3,544 ",3, 572 ,5, 963 ,2.5, 54 ,3.5, 553 ,4.5,5," 4,309 ", 5.0 , 299 , 5.0 , 648 , 3.5 , 731 
A12346,RANDOM PRACTICE 2,ADDRESS LINE ONE - 2,2 MAIN STREET,CITY NAME 2,REGION NAME 2,NE4 8AY,01235 567890,422743,564442,-1.64466,54.973997," 14,816 "," 1,852 ", 3 , 5 ,18.0%,47.7%,27.4%,6.9%,1,2.5,3.5,3, 489 ,4, 489 ,3, 498 ,2,1, 233 ,3, 505 ,4, 452 ,3.5,3, 370 ,3, 381 ,3, 393 ,1.5,0.5," 2,446 ",3, 413 ,2, 383 ,2, 33 ,3, 540 ,1.5,3.5," 3,524 ", 1.0 , 379 , 1.0 , 852 , 1.0 , 592 
A12347,RANDOM PRACTICE 3,ADDRESS LINE ONE - 3,3 MAIN STREET,CITY NAME 3,REGION NAME 3,NE3 1NB,01236 567890,424487,567484,-1.617153,55.001253," 5,005 "," 1,251 ", 2 , 2 ,13.2%,36.7%,40.0%,10.0%,4,3.5,4.5,4.5, 189 ,3, 184 ,4, 188 ,5,5, 104 ,5, 187 ,5, 177 ,4,2.5, 155 ,3.5, 147 ,4.5, 162 ,2,2.5," 1,074 ",2.5, 204 ,1.5, 284 ,2, 14 ,4, 195 ,1.5,1," 1,435 ", 2.0 , 114 , 2.0 , 260 , 1.0 , 206 
A12348,RANDOM PRACTICE 4,ADDRESS LINE ONE - 4,4 MAIN STREET,CITY NAME 4,REGION NAME 4,NE2 1JQ,01237 567890,425485,566008,-1.601681,54.987938," 2,666 "," 1,333 ", 1 , 1 ,9.3%,62.8%,24.3%,3.6%,4.5,4,5,5, 100 ,4, 97 ,5, 100 ,5,5, 51 ,5, 97 ,5, 92 ,5,0.5, 83 ,5, 80 ,5, 85 ,0.5,3.5, 526 ,2, 39 ,1, 78 ,0.5, 4 ,3.5, 44 ,5,5, 447 , 5.0 , 31 , 5.0 , 61 , 4.0 , 62 
A12349,RANDOM PRACTICE 5,ADDRESS LINE ONE - 5,5 MAIN STREET,CITY NAME 5,REGION NAME 5,NE3 2PE,01238 567890,422776,568876,-1.643792,55.013844," 11,502 "," 1,643 ", 3 , 4 ,18.8%,40.7%,33.2%,7.3%,2.5,2.5,2,2.5, 393 ,2, 385 ,2, 382 ,1.5,0.5, 177 ,4, 386 ,4, 359 ,4.5,4.5, 323 ,3.5, 314 ,3, 332 ,1,3," 2,401 ",4, 454 ,2, 515 ,0.5, 35 ,1, 404 ,2.5,3," 2,775 ", 3.0 , 227 , 3.0 , 534 , 1.0 , 436 
A12350,RANDOM PRACTICE 6,ADDRESS LINE ONE - 6,6 MAIN STREET,CITY NAME 6,REGION NAME 6,NE6 1SG,01239 567890,426760,564849,-1.581862,54.977455," 5,922 "," 1,481 ", 2 , 2 ,15.9%,42.3%,34.6%,7.1%,0.5,3,5,4, 216 ,5, 217 ,4.5, 218 ,3,3, 110 ,3, 219 ,2.5, 187 ,2.5,1, 169 ,4, 176 ,3, 186 ,4,2.5," 1,145 ",4, 239 ,3.5, 334 ,5, 19 ,4, 260 ,1.5,2," 1,589 ", 1.0 , 171 , 1.0 , 401 , 1.0 , 272 
A12351,RANDOM PRACTICE 7,ADDRESS LINE ONE - 7,7 MAIN STREET,CITY NAME 7,REGION NAME 7,NE6 5SL,01240 567890,427182,566174,-1.575143,54.98934," 8,886 "," 1,481 ", 3 , 3 ,14.0%,51.8%,27.2%,7.0%,3.5,3.5,2.5,2.5, 316 ,2, 301 ,3, 317 ,3,2.5, 198 ,2.5, 321 ,3.5, 291 ,4.5,3, 218 ,4, 223 ,4, 228 ,4,4.5," 1,708 ",4.5, 277 ,1.5, 337 ,5, 27 ,3, 311 ,4,4," 1,915 ", 4.0 , 141 , 4.5 , 312 , 2.5 , 273 
A12352,RANDOM PRACTICE 8,ADDRESS LINE ONE - 8,8 MAIN STREET,CITY NAME 8,REGION NAME 8,NE6 3BS,01241 567890,429220,564332,-1.543477,54.97267," 11,376 "," 1,625 ", 4 , 3 ,16.3%,40.7%,35.0%,7.9%,0.5,3,5,3.5, 404 ,5, 404 ,4.5, 415 ,3,2.5, 231 ,3, 406 ,2.5, 347 ,2,1.5, 293 ,2.5, 293 ,3, 317 ,4.5,5," 1,997 ",4, 629 ,1.5, 551 ,5, 47 ,4, 536 ,1,1.5," 3,094 ", 1.0 , 340 , 1.0 , 791 , 1.0 , 529 
A12353,RANDOM PRACTICE 9,ADDRESS LINE ONE - 9,9 MAIN STREET,CITY NAME 9,REGION NAME 9,NE4 9QB,01242 567890,422100,564673,-1.654689,54.976102," 9,089 "," 1,515 ", 1 , 5 ,20.3%,47.3%,26.4%,6.0%,1,3.5,4,3.5, 285 ,4.5, 286 ,4, 297 ,3,2, 154 ,3.5, 295 ,3, 272 ,3.5,3.5, 220 ,3, 233 ,3, 231 ,3.5,1.5," 1,633 ",4.5, 293 ,3, 478 ,5, 23 ,2.5, 403 ,2.5,4," 2,009 ", 2.0 , 207 , 1.5 , 490 , 1.5 , 329 
A12354,RANDOM PRACTICE 10,ADDRESS LINE ONE - 10,10 MAIN STREET,CITY NAME 10,REGION NAME 10,NE5 2QW,01243 567890,419384,566548,-1.696998,54.993065," 7,078 "," 1,416 ", 2 , 3 ,16.4%,36.6%,36.5%,10.6%,1.5,3,4.5,4.5, 252 ,4, 245 ,4, 250 ,3,1.5, 147 ,4, 257 ,4.5, 227 ,4,2, 194 ,4, 196 ,4, 205 ,1.5,2.5," 1,303 ",3, 438 ,1, 393 ,1, 38 ,3.5, 356 ,1,1," 1,983 ", 1.0 , 180 , 1.0 , 418 , 1.0 , 313 
